city_nm,ksh_cd,city_type_cd,county_nm,district_cd,district_nm,district_seat_nm,area_no,population_no,apartments_no,country_cd,longitude_no,latitude_no
Aba,17376,város,Fejér,085 0,Székesfehérvári,Székesfehérvár,"8,805",4396,1562,HU,18.524833,47.034333
Abádszalók,12441,város,Jász-Nagykun-Szolnok,164 0,Kunhegyesi,Kunhegyes,"13,223",3799,2017,HU,20.599,47.474667
Abaliget,12548,község,Baranya,028 0,Pécsi,Pécs,"1,609",615,284,HU,18.118167,46.143833
Abasár,24554,község,Heves,106 0,Gyöngyösi,Gyöngyös,"2,082",2470,1176,HU,20.008333,47.800667
Abaújalpár,15662,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,848,67,54,HU,21.235667,48.306167
Abaújkér,26718,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,"1,727",556,278,HU,21.201333,48.307833
Abaújlak,2820,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,706,76,75,HU,20.9575,48.405833
Abaújszántó,3595,város,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,"4,739",2697,1162,HU,21.186333,48.279
Abaújszolnok,26338,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,867,227,50,HU,20.977167,48.3725
Abaújvár,2273,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,735,253,139,HU,21.3165,48.5265
Abda,11882,község,Győr-Moson-Sopron,087 0,Győri,Győr,"1,902",3217,1222,HU,17.544167,47.6965
Abod,10357,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,"3,116",147,128,HU,20.794167,48.393333
Abony,27872,város,Pest,124 0,Ceglédi,Cegléd,"12,797",14624,5959,HU,20.012,47.192667
Ábrahámhegy,4561,község,Veszprém,189 0,Tapolcai,Tapolca,"1,488",582,392,HU,17.572667,46.816
Ács,4428,város,Komárom-Esztergom,112 0,Komáromi,Komárom,"10,385",6974,2790,HU,18.015667,47.712833
Acsa,18573,község,Pest,138 0,Váci,Vác,"2,694",1291,475,HU,19.388333,47.795167
Acsád,7214,község,Vas,181 0,Szombathelyi,Szombathely,"1,434",603,189,HU,16.733667,47.327333
Acsalag,33385,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,"1,042",471,223,HU,17.199833,47.675333
Ácsteszér,18139,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,"1,771",667,239,HU,18.003667,47.406667
Adács,23241,község,Heves,106 0,Gyöngyösi,Gyöngyös,"3,794",2542,1193,HU,19.983167,47.692167
Ádánd,6080,község,Somogy,146 0,Siófoki,Siófok,"2,952",2083,834,HU,18.158667,46.856167
Adásztevel,7302,község,Veszprém,187 0,Pápai,Pápa,837,760,320,HU,17.541167,47.304333
Adony,8925,város,Fejér,078 0,Dunaújvárosi,Dunaújváros,"6,105",4031,1681,HU,18.8645,47.123
Adorjánháza,31307,község,Veszprém,186 0,Devecseri,Devecser,"1,143",329,197,HU,17.241167,47.240833
Adorjás,6868,község,Baranya,030 0,Sellyei,Sellye,810,165,59,HU,18.064833,45.850833
